  0.8500	 -1.3398	 -1.1969	 -1.1316	  3.6726	  3.9814	  4.0944	  4.4740	  6.4549	  6.9298	  7.0101	  8.0591	  8.3067	
  0.8750	 -1.2472	 -1.1479	 -1.0840	  3.6726	  3.9624	  4.0535	  4.3692	  6.3883	  6.8509	  6.9379	  8.0536	  8.3012	
  0.9000	 -1.1697	 -1.1071	 -1.0418	  3.6671	  3.9542	  4.0195	  4.2808	  6.3311	  6.7828	  6.8767	  8.0495	  8.2985	
  0.9250	 -1.1085	 -1.0744	 -1.0064	  3.6603	  3.9529	  3.9923	  4.2100	  6.2862	  6.7271	  6.8291	  8.0455	  8.2958	
  0.9500	 -1.0649	 -1.0500	 -0.9792	  3.6535	  3.9542	  3.9733	  4.1583	  6.2536	  6.6862	  6.7937	  8.0427	  8.2944	
  0.9750	 -1.0418	 -1.0350	 -0.9615	  3.6481	  3.9556	  3.9624	  4.1270	  6.2332	  6.6618	  6.7733	  8.0414	  8.2931	
  1.0000	 -1.0336	 -1.0295	 -0.9561	  3.6467	  3.9542	  3.9597	  4.1161	  6.2264	  6.6522	  6.7665	  8.0414	  8.2931	
  1.0000	 -1.0336	 -1.0295	 -0.9561	  3.6467	  3.9542	  3.9597	  4.1161	  6.2264	  6.6522	  6.7665	  8.0414	  8.2931	
  1.0289	 -1.0527	 -1.0336	 -0.9574	  3.6563	  3.9433	  3.9665	  4.1297	  6.2386	  6.6645	  6.7720	  8.0414	  8.2931	
  1.0577	 -1.1139	 -1.0418	 -0.9656	  3.6848	  3.9039	  3.9950	  4.1678	  6.2754	  6.6998	  6.7910	  8.0441	  8.2958	
  1.0866	 -1.2105	 -1.0527	 -0.9765	  3.7311	  3.8413	  4.0440	  4.2263	  6.3325	  6.7543	  6.8250	  8.0482	  8.2985	
  1.1155	 -1.3370	 -1.0676	 -0.9914	  3.7583	  3.7950	  4.1093	  4.3012	  6.4032	  6.8264	  6.8808	  8.0550	  8.3026	
  1.1443	 -1.4867	 -1.0867	 -1.0105	  3.6590	  3.8767	  4.1937	  4.3842	  6.4781	  6.9107	  6.9652	  8.0645	  8.3094	
  1.1732	 -1.6540	 -1.1085	 -1.0309	  3.5461	  3.9733	  4.2944	  4.4726	  6.5488	  7.0060	  7.0808	  8.0781	  8.3203	
  1.2021	 -1.8323	 -1.1302	 -1.0527	  3.4236	  4.0862	  4.4100	  4.5624	  6.6101	  7.1053	  7.2264	  8.0958	  8.3380	
